Owner,total_capacity_ttpa,n_plants,n_countries,n_regions,avg_litpop_value_50km,centroid_lat,centroid_lon
A. Finkl & Sons Corp,573.0,1,1,1,,41.724915,-87.589968
ABA Çelik Demir LŞ,1100.0,1,1,1,,36.747413,36.21733
AFA Steel,500.0,1,1,1,,46.843697,46.843697
AFV Acciaierie Beltrame SpA,1200.0,1,1,1,,45.522097,11.499295
AG Siderurgica Balboa SA,1300.0,1,1,1,,38.326405,-6.767326
AG der Dillinger Hüttenwerke AG,0.0,1,1,1,,49.353884,6.746603
ALPA - Aciéries et Laminoirs de Paris SAS,700.0,1,1,1,,48.983515,1.76245
AM/NS Calvert LLC,1500.0,1,1,1,,31.148446,-87.990521
Abba Steel Ltd,0.0,1,1,1,,-17.397866,15.891022
Abinski Elektrometallurgicheski Zavod LLC,1600.0,1,1,1,,44.881938,38.12751
Abu Dhabi National for Building Materials Co PJSC,1000.0,1,1,1,,24.37872,54.475153
Abul Khair Steel Ltd,1400.0,1,1,1,,22.472008,91.734827
Acciai Speciali Terni SpA,1450.0,1,1,1,,42.564752,12.66936
Acciaieria Arvedi SpA,4300.0,1,1,1,,45.145949,9.950821
Acciaierie Bertoli Safau SpA,1500.0,1,1,1,,46.008483,13.255117
Acciaierie Venete SpA,1740.0,3,1,1,,45.70568033333333,11.185377666666668
Acciaierie d'italia SpA,0.0,1,1,1,,40.508993,17.207589
Acciaierie di Calvisano SpA,600.0,1,1,1,,45.371651,10.331967
Acciaierie di Sicilia SpA,500.0,1,1,1,,37.438448,15.03287
Acciaierie di Verona SpA,1250.0,1,1,1,,45.42882,11.000861
Acerinox Europa SAU,1200.0,1,1,1,,36.181686,-5.426626
Aceros AZA SA,520.0,1,1,1,,-33.294729,-70.727881
Aceros Especiales Simec Tlaxcala SA de CV,1956.0,2,1,1,,20.749476,-99.50398949999999
Acindar Industria Argentina de Aceros SA,2000.0,1,1,1,,-33.249936,-60.300415
Aco Verde do Brasil SA,600.0,1,1,1,,-4.874373,-47.4073517
Action Ispat and Power Pvt Ltd,375.0,1,1,1,10881255868.230427,21.839759,83.982227
Ada - Aceria De Angola SA,500.0,1,1,1,,-8.5824,13.405271
Adhunik Metaliks Ltd,500.0,1,1,1,10059622581.38454,22.308371,84.763584
African Natural Resources & Mines Ltd,0.0,1,1,1,,9.462715,7.368
Agha Steel Industries Ltd,450.0,1,1,1,,24.841851,67.310159
Ahya Steel Folad Baft Co,0.0,1,1,1,,29.289109,56.490707
Aichi Steel Corp,1495.0,1,1,1,2355302210489.7534,35.044558,136.900772
Ajaokuta Steel Co Ltd,0.0,1,1,1,,7.511336,6.689364
Aktobe Generatsiya LLC,0.0,1,1,1,,50.355117,57.145119
Al Atoun Steel Industries,0.0,1,1,1,,24.029,38.180077
Al Ezz Dekheila Steel Company Alexandria SAE,3340.0,1,1,1,,31.123467,29.80987
Al Ezz Flat Steel Company SAE,2880.0,1,1,1,,29.692045,32.322117
Al Qaryan Steel Co,350.0,1,1,1,,26.280741,49.956755
Alchevsk Metallurgical Plant PJSC,5472.0,1,1,1,,48.478111,38.770787
Alfa Acciai SpA,2000.0,1,1,1,,45.508698,10.248464
Algerian Qatari Steel,2100.0,1,1,1,,36.753961,6.24442
Algoma Steel Group Inc,1850.0,1,1,1,,46.518984,-84.374068
Alliance Steel (M) Sdn Bhd,3500.0,1,1,1,,4.007595,103.344458
