GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age
P100000120882,Aba Iron and Steel Payas plant,ABA Çelik Demir LŞ,Türkiye,Europe,36.747413,36.21733,1100.0,43.0
P100000120753,Abba Steel Ohangwena steel plant,Abba Steel Ltd,Namibia,Africa,-17.397866,15.891022,,1.0
P100000120802,Abinsk Electric Steel Works,Abinski Elektrometallurgicheski Zavod LLC,Russia,Eurasia,44.881938,38.12751,1600.0,12.0
P100000120020,Abul Khair Steel Sitakunda plant,Abul Khair Steel Ltd,Bangladesh,Asia Pacific,22.472008,91.734827,1400.0,11.0
P100000120620,Acciaierie d'Italia Taranto steel plant,Acciaierie d'italia SpA,Italy,Europe,40.508993,17.207589,,61.0
P100000120634,Acciaierie Venete Borgo Valsugana steel plant,Acciaierie Venete SpA,Italy,Europe,46.049182,11.440394,600.0,47.0
P100000120636,Acciaierie Venete Padua steel plant,Acciaierie Venete SpA,Italy,Europe,45.419168,11.906625,600.0,35.0
P100000120635,Acciaierie Venete Sarezzo steel plant,Acciaierie Venete SpA,Italy,Europe,45.648691,10.209114,540.0,59.0
P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,Angola,Africa,-8.5824,13.405271,500.0,11.0
P100000121029,Acerinox Columbus Stainless steel plant,Columbus Stainless (Pty) Ltd,South Africa,Africa,-25.796313,29.497972,850.0,60.0
P100000120454,Acerinox Europa Los Barrios steel plant,Acerinox Europa SAU,Spain,Europe,36.181686,-5.426626,1200.0,56.0
P100000120768,Aceros Arequipa Pisco steel plant,Corporacion Aceros Arequipa SA,Peru,Central & South America,-13.788622,-76.168173,1250.0,39.0
P100001045296,Action Ispat and Power Jharsuguda steel plant,Action Ispat and Power Pvt Ltd,India,Asia Pacific,21.839759,83.982227,375.0,
P100001025815,Adhunik Metaliks Kuanrmunda steel plant,Adhunik Metaliks Ltd,India,Asia Pacific,22.308371,84.763584,500.0,22.81
P100000120757,African Natural Resources and Mines Kaduna steel plant,African Natural Resources & Mines Ltd,Nigeria,Africa,9.462715,7.368,0.0,1.45
P100000120624,AFV Accaierie Beltrame Vicenza steel plant,AFV Acciaierie Beltrame SpA,Italy,Europe,45.522097,11.499295,1200.0,50.0
P100000121240,AFV Donalam Targoviste steel plant,Donalam SRL,Romania,Europe,44.904569,25.458124,,53.0
P100000120423,AG der Dillinger Hüttenwerke Dillingen steel plant,AG der Dillinger Hüttenwerke AG,Germany,Europe,49.353884,6.746603,,57.0
P100000120494,AG Sidegua Masagua steel plant,Corporación AG SA,Guatemala,Central & South America,14.232007,-90.815444,500.0,32.0
P100000120782,Agha Steel Industries Karachi plant,Agha Steel Industries Ltd,Pakistan,Asia Pacific,24.841851,67.310159,450.0,14.14
P100000121224,Ahya Steel Folad Baft Company DRI plant,Ahya Steel Folad Baft Co,Iran,Middle East,29.289109,56.490707,0.0,7.0
P100000120644,Aichi Steel Chita plant (Tokai),Aichi Steel Corp,Japan,Asia Pacific,35.044558,136.900772,1495.0,83.0
P100000120756,Ajaokuta Steel plant,Ajaokuta Steel Co Ltd,Nigeria,Africa,7.511336,6.689364,,
P100000121166,Aktobe Generatsiya steel plant,Aktobe Generatsiya LLC,Kazakhstan,Eurasia,50.355117,57.145119,,0.05
P100000120840,Al Atoun Yanbu steel plant,Al Atoun Steel Industries,Saudi Arabia,Middle East,24.029,38.180077,,
P100000120835,Al Ittefaq Arab Steel Dammam plant,Arab Steel Co,Saudi Arabia,Middle East,26.277917,49.949177,2600.0,37.0
P100000120836,Al Ittefaq National Steel Dammam plant,National Steel Co,Saudi Arabia,Middle East,26.244786,49.969064,1000.0,22.0
