GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age,distance_to_litpop_km,litpop_asset_value,litpop_value_50km
P100001045296,Action Ispat and Power Jharsuguda steel plant,Action Ispat and Power Pvt Ltd,India,Asia Pacific,21.839759,83.982227,375.0,,4.629909798368542,645075019.3542067,10881255868.230427
P100001025815,Adhunik Metaliks Kuanrmunda steel plant,Adhunik Metaliks Ltd,India,Asia Pacific,22.308371,84.763584,500.0,22.81,3.4346769031056885,721177173.7528095,10059622581.38454
P100000120644,Aichi Steel Chita plant (Tokai),Aichi Steel Corp,Japan,Asia Pacific,35.044558,136.900772,1495.0,83.0,5.2500946996512186,110186877555.41345,2355302210489.7534
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,"Xinyang Iron & Steel Co.,ltd of Angang Group",China,Asia Pacific,32.488704,114.038243,3600.0,55.0,3.39230213234901,382250327.83036226,25489388081.02884
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,Angang Lianzhong Stainless Steel Corp,China,Asia Pacific,23.126822,113.505817,1900.0,25.0,3.671571994215557,23605391215.706425,2328775890523.6787
P100000120219,Angang Steel Co Ltd,Angang Steel Co Ltd,China,Asia Pacific,41.148267,122.983054,20650.0,27.43,3.3135165743109662,44422407772.444046,209691864102.5174
P100000120220,Angang Steel Co Ltd Bayuquan branch,Angang Steel Co Ltd,China,Asia Pacific,40.308494,122.13079,7500.0,20.0,1.934468068348785,6209926726.154055,69944054475.54517
P100000120070,Anhui Changjiang Steel Co Ltd,Anhui Changjiang Steel Co Ltd,China,Asia Pacific,31.502272,118.465162,3800.0,23.0,4.4280500581230315,2369022303.7466125,189221571196.00693
P100000120071,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd,China,Asia Pacific,30.531068,117.251147,2700.0,15.89,4.055693196107127,189683194.67400867,40844703067.460754
P100000120391,Anhui Jin an Stainless Steel Casting Co Ltd,Anhui Jin'an Stainless Steel Foundry Co Ltd,China,Asia Pacific,31.763956,115.924372,500.0,4.0,4.449717583599526,413630926.1177371,3672842030.7683444
P100000120417,Anhui Jingxian Longxin Iron and Steel Co Ltd,Anhui Jingxian Longxin Iron and Steel Co Ltd,China,Asia Pacific,30.709058,118.436638,500.0,18.0,2.075694470832129,271114715.91688704,17379047760.864864
P100000120402,Anhui Langxi Hongtai Iron and Steel Co Ltd,Anhui Langxi County Fuhang Steel Co Ltd,China,Asia Pacific,31.246635,119.120443,1000.0,24.0,4.280936338794981,86904812.1034762,38415562720.60706
P100001025923,Anhui Lixin Special Steel Co Ltd,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",China,Asia Pacific,31.0494162,119.5296269,500.0,14.24,1.4346207475889654,60598213.36689451,83715068782.64464
P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,Anhui Shoukuang Dachang Metal Material Co Ltd,China,Asia Pacific,32.329171,115.954963,3000.0,16.0,4.182302137654248,26192474.427464876,13012378609.377192
P100000120231,Anshan Baode Iron and Steel Co Ltd,Anshan Baode Iron & Steel Co Ltd,China,Asia Pacific,41.173613,122.945501,1800.0,26.73,4.0072630790867105,4381066890.384275,210015701176.18738
P100000120221,Ansteel Group Chaoyang Steel and Iron Co Ltd,Angang Steel Co Ltd,China,Asia Pacific,41.528945,120.369983,2100.0,18.59,1.474934287887536,3344426880.8404565,24252453963.630093
P100000120170,Anyang Huixin Special Steel Co Ltd,Anyang Huixin Special Steel Co Ltd,China,Asia Pacific,36.152418,114.15839,,21.0,4.276141181870941,3691623504.775808,127918562473.73918
P100000120160,Anyang Iron and Steel Co Ltd,Anyang Iron & Steel Co Ltd,China,Asia Pacific,36.122129,114.283145,0.0,68.0,0.8293028583503114,17037663839.757977,154993315481.78342
P100000120166,Anyang Xinpu Steel Co Ltd,Anyang Xinpu Steel Co Ltd,China,Asia Pacific,36.163203,114.296223,,20.41,4.267636368725959,17037663839.757977,155509439119.41663
P100000120532,ArcelorMittal Bellary steel plant,ArcelorMittal SA,India,Asia Pacific,15.139498,76.918417,,,4.57783916596781,490816268.93993175,7118445911.73411
P100001025671,ArcelorMittal Nippon Steel Anakapalle steel plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,17.407103,82.723183,,,3.9020001660214367,114947781.09143434,9811665451.947588
